N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
4073,0.8,122295.0,23621.031996089499,2243.8751658291453,-21377.156830260355,4.136191677175284,2410.9215250604902,465.6646182060976,46.166218579686856,428.13421440609176,0.0
4100,0.9,126289.7,24392.600224674308,2311.7282060301504,-22080.872018644157,9.0,3770.0514068113189,728.17780700104186,47.108547009710904,689.09927541692923,0.0
4100,1,132393.79999999999,25571.59479851077,2448.1958442211053,-23123.398954289663,1.0,3205.4252385604004,619.12140415477347,36.61124666088417,591.75630620103504,0.0
793,0,37992.300000000003,7338.1359328266171,1051.2669949748747,-6286.8689378517429,0.0,1742.1423621506938,336.49127501618631,12.119807079331393,334.53045919396953,0.0
793,1e-05,37260.400000000001,7196.7709275693469,1029.3650301507537,-6167.4058974185928,0.0,1683.2195459891736,325.11045220371659,14.983220974886484,315.97889351938932,0.0
1813,0.2,101247.60000000001,19555.769239357876,1898.5134874371863,-17657.255751920686,1.2862547288776798,7088.6448239420215,1369.1574160452078,98.23813976011202,1273.3448908527168,0.0
2833,0.4,114153.7,22048.556361028681,2102.500221105528,-19946.056139923148,2.5725094577553596,4331.1751534658579,836.55772419710399,68.122133786950528,772.06345536940614,0.0
3853,0.6,122959.89999999999,23749.456086806211,2233.0300050251253,-21516.426081781079,3.8587641866330396,3385.9833564269034,653.99583957141658,50.030903030105698,620.87509933099329,4.4408920985006262e-16
4873,0.8,123384.89999999999,23831.543977548579,2283.7483366834167,-21547.795640865159,5.1450189155107191,5332.1168863782423,1029.8875962224911,65.449246155640395,972.2240249323138,0.0
5100,0.9,128120.0,24746.118969205505,2324.3652613065328,-22421.753707898966,9.0,3353.7264050604963,647.76547463154009,40.829111997240275,621.32787842783466,0.0
5100,1,132042.70000000001,25503.780543358658,2438.1705979899498,-23065.609945368713,1.0,2392.415894028461,462.09029298662477,21.896510445453675,447.07950684034182,0.0
793,0,36117.699999999997,6976.0607328603928,1026.6755577889448,-5949.3851750714475,0.0,2900.4156615905936,560.20942102612935,19.310210545078739,548.85911571752888,0.0
793,1e-05,37861.099999999999,7312.7949180845026,1038.6262512562814,-6274.1686668282218,0.0,1408.9331034509767,272.13258037503726,17.638015852016395,263.33966088239583,0.0
2013,0.2,108922.7,21038.199286973777,2017.72059798995,-19020.478688983825,1.5384615384615385,5104.616323486026,985.94632245655362,73.854492131296468,915.27325207894171,0.0
3233,0.4,116713.8,22543.034500062884,2137.0230653266331,-20406.011434736254,3.0769230769230771,4370.665985865312,844.18529863317917,49.701777245670414,797.76525629811488,0.0
4453,0.6,123066.3,23770.007031688536,2247.6811909547741,-21522.32584073376,4.6153846153846141,3493.5799704601009,674.77790803495998,57.953684829173575,632.29962176193078,8.8817841970012523e-16
5673,0.8,126291.89999999999,24393.025150226385,2299.5177386934674,-22093.507411532915,6.1538461538461542,3036.2699632937779,586.44940473222846,25.159894197720917,565.29013030515182,0.0
6100,0.9,128973.2,24910.912824220533,2333.4187035175878,-22577.494120702948,9.0,3059.4712222866224,590.93068099879201,33.681970854446547,559.11143392613292,0.0
6100,1,133303.5,25747.301514295079,2448.9612211055278,-23298.340293189551,1.0,4237.1285854927746,818.39281973482434,36.520234041315803,786.74079031750239,0.0
793,0,37321.599999999999,7208.5915838362471,1024.7804170854274,-6183.8111667508201,0.0,1153.2739657167328,222.75253480887989,9.7368788841346579,221.73265397168024,0.0
793,1e-05,37613.300000000003,7264.9328490822463,1039.0144974874374,-6225.918351594808,0.0,1075.298660838002,207.69176232067224,24.105516241798881,202.60203892206107,0.0
2213,0.2,110708.89999999999,21383.200205665587,2049.2361809045224,-19333.964024761062,1.7906683480453975,4384.7063630304829,846.89716909603999,64.341760231808593,787.29357356432342,2.2204460492503131e-16
3633,0.4,120366.3,23248.507490501717,2201.466547738693,-21047.040942763029,3.5813366960907951,5062.7878693462953,977.86724110750788,63.579264553318893,918.6422440890575,4.4408920985006262e-16
5053,0.6,126105.10000000001,24356.945107895383,2283.3533316582916,-22073.591776237088,5.3720050441361904,2654.876887917781,512.78410331726081,34.493078403816078,490.44089714532083,8.8817841970012523e-16
6473,0.8,127858.39999999999,24695.591458103845,2333.4148793969848,-22362.176578706862,7.1626733921815902,3023.7590909330065,584.03295503000959,25.843116182576381,568.6281900537748,8.8817841970012523e-16
7100,0.9,126532.8,24439.554498178943,2309.0374371859298,-22130.517060993017,9.0,3651.4319328175902,705.26669542194884,42.018851149170608,675.56561954217068,0.0
7100,1,131702.0,25437.975027180008,2435.2838994974877,-23002.691127682523,1.0,2884.1542261120503,557.06855764053728,33.417657653129154,530.18031880919614,0.0
793,0,36407.099999999999,7031.9577577564905,1023.4283919597992,-6008.5293657966922,0.0,768.19170133502485,148.37467399619825,24.515770021209558,149.03469861921926,0.0
793,1e-05,37428.699999999997,7229.2777323033242,1036.104055276382,-6193.1736770269417,0.0,885.89356584185668,171.10855115810401,20.640544642874431,161.39763352758342,0.0
2413,0.2,113567.39999999999,21935.313701399853,2112.0076432160809,-19823.306058183767,2.0428751576292554,4419.7404267671645,853.66392767551804,62.103090261199071,796.86682596415301,4.4408920985006262e-16
4033,0.4,119556.2,23092.03831334785,2210.0698743718594,-20881.96843897599,4.0857503152585108,3765.7906951927112,727.35485916614016,55.87765319010196,681.16087113618494,8.8817841970012523e-16
5653,0.6,124602.7,24066.759585421656,2276.9871859296481,-21789.772399492009,6.1286254728877685,2133.7348031093275,412.12656327253916,44.093801701030372,373.62978956349082,8.8817841970012523e-16
7273,0.8,127821.89999999999,24688.541556898912,2314.8191809045229,-22373.722375994388,8.1715006305170217,2614.4040793266827,504.96686216511318,33.111229554054077,483.21325074202031,1.7763568394002505e-15
8083,0.9,129866.7,25083.490542757725,2348.4935577889446,-22734.996984968784,9.1929382093316541,3014.5552922446122,582.2552599214273,44.885912058299745,552.41211486104885,1.7763568394002505e-15
8100,1,130695.89999999999,25243.648846295546,2416.1286834170851,-22827.52016287846,1.0,3122.9699150007832,603.19532511597765,38.692354758525312,570.52657690782883,0.0
793,0,37248.0,7194.3758926394512,1038.6013065326636,-6155.7745861067888,0.0,1313.731174936486,253.74452036007185,17.389741490759047,241.35401193311381,0.0
793,1e-05,37058.300000000003,7157.7357211716226,1037.4081407035178,-6120.3275804681043,0.0,1644.6318767432426,317.65732190474557,18.606852123323907,303.2313021132282,0.0
2613,0.2,115378.10000000001,22285.046745557986,2128.9255527638188,-20156.121192794169,2.2950819672131146,2799.9269079745636,540.80022143161295,43.882223297261191,501.69409262133894,0.0
4433,0.4,123578.89999999999,23869.014685322742,2248.0829547738695,-21620.931730548873,4.5901639344262293,4527.0398374655379,874.38859191582071,64.134674802593665,818.15646485534057,0.0
6253,0.6,127003.5,24530.469251525843,2316.2333015075374,-22214.235950018301,6.8852459016393439,4863.7205974438948,939.41780001031782,57.047033145734645,888.37695331159659,0.0
8073,0.8,128247.2,24770.687392034743,2341.5674723618095,-22429.119919672939,9.1803278688524586,3590.11146902154,693.42277181639179,52.055044742938449,649.55194879568137,0.0
8983,0.9,127853.8,24694.702977404046,2353.0514623115578,-22341.65151509249,10.327868852459018,3913.2620868017516,755.83866030032414,59.175873048579305,704.98851305092239,1.7763568394002505e-15
9100,1,131607.10000000001,25419.645284047183,2433.4459346733665,-22986.199349373819,1.0,4343.7553902124828,838.98757149021094,44.043825685495783,798.08284412633907,0.0
793,0,37269.5,7198.5285741711223,1035.3666633165828,-6163.161910854541,0.0,1521.5582308935798,293.88589603704634,16.188283788061909,287.12803874056465,0.0
793,1e-05,36783.400000000001,7104.6393419596743,1034.6408994974875,-6069.998442462188,0.0,2034.9918034232962,393.05455252006658,13.974853874001809,394.58973998337939,0.0
2813,0.2,112950.5,21816.160713637575,2094.2821758793971,-19721.878537758173,2.5472887767969739,2629.7238353104685,507.92584206016375,49.030671612715985,467.07840551764616,4.4408920985006262e-16
4833,0.4,121208.3,23411.138088160718,2227.2566532663318,-21183.881434894392,5.0945775535939477,5053.1889347223105,976.01322629184483,77.837488992395038,905.71266044704453,8.8817841970012523e-16
6853,0.6,127191.10000000001,24566.703812239415,2333.1116381909551,-22233.592174048466,7.6418663303909202,4704.1871019337659,908.60422789459108,42.932398866951338,867.09790925004222,0.0
8873,0.8,128421.10000000001,24804.275825446744,2340.3048592964819,-22463.97096615026,10.189155107187895,2535.8338056741813,489.79117266114918,45.579775896365341,455.58942348822325,1.7763568394002505e-15
9883,0.9,126049.3,24346.167450710858,2319.2366281407039,-22026.930822570157,11.462799495586381,2466.2435017653875,476.3499461576356,30.844950103541251,448.95838701525037,0.0
10100,1,130409.60000000001,25188.350580131922,2417.0591758793971,-22771.291404252526,1.0,3560.0632915722158,687.61902709293963,39.957109347960376,660.80971792093931,0.0
793,0,37461.0,7235.5164119997444,1026.9446582914575,-6208.5717537082874,0.0,1167.9583040502773,225.58878506946346,18.571802354113661,215.98903314950144,0.0
793,1e-05,37555.400000000001,7253.749581143461,1046.2685678391958,-6207.4810133042656,0.0,1215.4262791300837,234.75712848619906,15.582498330400535,227.14918978038864,0.0
3013,0.2,119516.2,23084.31239421916,2189.0783919597989,-20895.23400225936,2.7994955863808322,4865.4384345092685,939.74959676640196,70.831317160145588,879.97062118986673,0.0
5233,0.4,124645.89999999999,24075.103578080649,2276.0008090452257,-21799.10276903542,5.5989911727616644,3479.4487623760178,672.04849376375057,42.429267409846496,649.22795101597751,0.0
7453,0.6,128262.2,24773.584611708007,2336.5115326633168,-22437.073079044691,8.3984867591424983,3667.167075550281,708.30590642772893,63.765098482657756,654.3647259676676,1.7763568394002505e-15
9673,0.8,129579.2,25027.960499020242,2357.3828793969847,-22670.577619623255,11.197982345523329,3014.7322202809319,582.28943321393217,39.17590869814903,549.70868300330619,0.0
10783,0.9,126193.10000000001,24373.94212997851,2335.6765778894469,-22038.265552089062,12.597730138713745,4341.8080208595129,838.6114410368416,49.247504338897492,803.64697276103004,0.0
11100,1,133689.60000000001,25821.875948684792,2463.4259597989953,-23358.449988885801,1.0,2593.8831585096505,501.00328779814544,46.803104484421205,465.77970685784101,0.0
793,0,36780.0,7103.982638833736,1044.1666582914572,-6059.8159805422792,0.0,1520.5149127844818,293.68438125363656,23.746438186067159,276.37337631960008,0.0
