,eccentricity,area,N,E_of_pi,S,d
78,0.6,42000.0,600.0,1947.24458933,18053.3444444,115.531059496
79,0.6,52500.0,750.0,1967.82751301,19369.3333333,124.862679051
80,0.6,70000.0,1000.0,1974.36295398,21107.3944444,137.733076695
81,0.6,87500.0,1250.0,1987.24395777,22520.3777778,148.318352732
82,0.6,105000.0,1500.0,1995.32566687,23867.1222222,158.224770044
83,0.6,140000.0,2000.0,2013.27909128,25761.1944444,171.312061837
84,0.7,3500.0,50.0,1839.84716724,7975.71666667,44.6707960807
85,0.7,7000.0,100.0,1839.911,9912.62777778,58.6376725275
86,0.7,14000.0,200.0,1872.41439467,12539.1666667,77.9261118939
87,0.7,21000.0,300.0,1906.79000544,14305.6277778,89.4899812294
88,0.7,28000.0,400.0,1930.88102264,15710.0,99.8222734932
89,0.7,35000.0,500.0,1943.02032168,17034.9777778,109.212098903
90,0.7,42000.0,600.0,1948.01161895,18040.1722222,115.505763882
91,0.7,52500.0,750.0,1964.84014447,19327.8111111,125.612166137
92,0.7,70000.0,1000.0,1975.1498552,21027.7222222,137.643629823
93,0.7,87500.0,1250.0,1986.24566284,22539.3611111,148.320769811
94,0.7,105000.0,1500.0,1997.95961279,23790.3944444,157.804525159
95,0.7,140000.0,2000.0,2013.05559218,25890.2333333,172.840368595
96,0.8,3500.0,50.0,1816.36438711,7291.77777778,39.9456893971
97,0.8,7000.0,100.0,1830.77476572,9197.38888889,53.4909189211
98,0.8,14000.0,200.0,1869.09815385,11817.7944444,73.7819506964
99,0.8,21000.0,300.0,1907.05679721,13839.2222222,86.7631338498
100,0.8,28000.0,400.0,1935.15321186,15303.5277778,96.615399156
101,0.8,35000.0,500.0,1944.95507317,16577.7555556,105.9331518
102,0.8,42000.0,600.0,1961.48029506,17788.8888889,114.617957425
103,0.8,52500.0,750.0,1961.3357387,19114.7333333,124.466672799
104,0.8,70000.0,1000.0,1975.53582014,21015.3888889,137.532544328
105,0.8,87500.0,1250.0,1989.94030585,22510.6111111,148.476259623
106,0.8,105000.0,1500.0,1996.80988147,23634.5166667,157.803886795
107,0.8,140000.0,2000.0,2013.36844583,25884.5444444,172.622792071
108,0.9,3500.0,50.0,1853.17342527,7317.3,38.9426829093
109,0.9,7000.0,100.0,1829.74114873,9257.91666667,54.3547296908
110,0.9,14000.0,200.0,1873.68884157,11909.5277778,74.1742716081
111,0.9,21000.0,300.0,1905.46408809,13722.5111111,86.308328105
112,0.9,28000.0,400.0,1925.13858561,15164.5833333,97.2872721453
113,0.9,35000.0,500.0,1936.80528894,16222.5444444,104.787368916
114,0.9,42000.0,600.0,1949.45108926,17375.0277778,112.659303323
115,0.9,52500.0,750.0,1960.32899201,18665.0,121.83176972
116,0.9,70000.0,1000.0,1978.58696136,20703.8,136.132213521
117,0.9,87500.0,1250.0,1982.91682088,22105.2,146.04097015
118,0.9,105000.0,1500.0,1997.24165405,23395.8555556,155.251974723
119,0.9,140000.0,2000.0,2009.6589132,25308.6777778,169.115162461
