,eccentricity,area,N,E_of_pi,S,d
78,0.6,42000.0,600.0,1700.21342169,18457.4833333,114.521562655
79,0.6,52500.0,750.0,1708.35712987,19873.8722222,123.122371246
80,0.6,70000.0,1000.0,1724.50187368,21699.5277778,135.241106927
81,0.6,87500.0,1250.0,1733.93004332,23241.7833333,145.551305099
82,0.6,105000.0,1500.0,1741.91133374,24360.2055556,152.795753354
83,0.6,140000.0,2000.0,1758.22615264,26456.65,168.477984976
84,0.7,3500.0,50.0,1649.8858238,8275.95,44.5013340438
85,0.7,7000.0,100.0,1648.55671896,10673.4555556,60.8680495892
86,0.7,14000.0,200.0,1663.61426375,13365.4444444,78.2014073277
87,0.7,21000.0,300.0,1676.32152843,15104.5166667,89.6763884737
88,0.7,28000.0,400.0,1686.80286092,16450.7277778,99.1339373338
89,0.7,35000.0,500.0,1694.11501636,17553.7444444,107.358300103
90,0.7,42000.0,600.0,1700.63428576,18631.1111111,114.815337003
91,0.7,52500.0,750.0,1708.87269063,19937.1111111,123.123086749
92,0.7,70000.0,1000.0,1724.50785634,21833.8277778,136.083788199
93,0.7,87500.0,1250.0,1733.5610839,23132.8888889,145.460460971
94,0.7,105000.0,1500.0,1741.95204518,24386.4111111,153.170543211
95,0.7,140000.0,2000.0,1756.30011636,26409.1166667,168.032678542
96,0.8,3500.0,50.0,1653.63279981,7926.37777778,42.6307292673
97,0.8,7000.0,100.0,1643.93611242,10167.8833333,57.8457727855
98,0.8,14000.0,200.0,1660.08382036,12951.5,76.3361009537
99,0.8,21000.0,300.0,1675.82645737,14958.7444444,88.8960503725
100,0.8,28000.0,400.0,1685.09743364,16585.4444444,100.181565333
101,0.8,35000.0,500.0,1694.03650781,17589.4111111,107.863254516
102,0.8,42000.0,600.0,1701.12449692,18715.7444444,115.12102397
103,0.8,52500.0,750.0,1710.79053847,20027.1222222,124.327169707
104,0.8,70000.0,1000.0,1722.00131777,21733.9611111,135.626513985
105,0.8,87500.0,1250.0,1734.32044285,23110.4222222,144.555220282
106,0.8,105000.0,1500.0,1743.06627232,24295.85,153.579384026
107,0.8,140000.0,2000.0,1752.82751769,26219.2722222,166.536477223
108,0.9,3500.0,50.0,1639.56309761,7964.18888889,42.7447841128
109,0.9,7000.0,100.0,1656.99268037,10536.1,59.717436753
110,0.9,14000.0,200.0,1655.87223114,13024.8277778,76.7305084022
111,0.9,21000.0,300.0,1673.28598558,15089.0166667,89.9191246271
112,0.9,28000.0,400.0,1685.50367681,16409.3888889,99.4283494619
113,0.9,35000.0,500.0,1693.71341055,17680.8222222,108.21263258
114,0.9,42000.0,600.0,1700.80234641,18709.7055556,115.414038286
115,0.9,52500.0,750.0,1711.3744347,19921.6277778,124.100128608
116,0.9,70000.0,1000.0,1720.52569141,21658.6555556,134.632099068
117,0.9,87500.0,1250.0,1729.34669539,23033.1388889,144.210815322
118,0.9,105000.0,1500.0,1735.5899356,24067.4722222,151.778757595
119,0.9,140000.0,2000.0,1749.9884269,25876.8388889,163.486554079
