,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1711.96822586,7822.18333333,43.3405140068
1,0.0,7000.0,100.0,1707.62849822,9733.75555556,56.3106864685
2,0.0,14000.0,200.0,1710.82604206,12896.9055556,78.1599469366
3,0.0,21000.0,300.0,1718.07783293,14888.3166667,90.7346417997
4,0.0,28000.0,400.0,1725.95919669,16485.4388889,101.168253439
5,0.0,35000.0,500.0,1727.46928608,17462.6777778,107.841529905
6,0.0,42000.0,600.0,1730.31636813,17944.6,111.228238897
7,0.0,52500.0,750.0,1736.96824985,19298.4111111,119.73545415
8,0.0,70000.0,1000.0,1747.17915064,21534.6277778,133.845943518
9,0.0,87500.0,1250.0,1755.58367127,23032.5222222,142.981197725
10,0.0,105000.0,1500.0,1761.03584552,24577.4,153.044514734
11,0.0,140000.0,2000.0,1767.33625057,26262.2333333,165.593653264
12,0.1,3500.0,50.0,1687.6045577,8259.60555556,45.4199745693
13,0.1,7000.0,100.0,1687.29481863,10801.4722222,61.8589178991
14,0.1,14000.0,200.0,1694.33140597,13726.5222222,81.9624131432
15,0.1,21000.0,300.0,1698.72736582,15021.7055556,91.0658125079
16,0.1,28000.0,400.0,1708.29346875,16870.1444444,102.676681367
17,0.1,35000.0,500.0,1716.31663644,17937.2111111,110.399650181
18,0.1,42000.0,600.0,1726.57759761,19380.0111111,119.011476615
19,0.1,52500.0,750.0,1731.84440537,20243.4944444,126.458086233
20,0.1,70000.0,1000.0,1745.39320687,22037.8666667,136.731508121
21,0.1,87500.0,1250.0,1751.85453935,23311.5833333,146.117430171
22,0.1,105000.0,1500.0,1758.99240128,24473.3833333,152.781598286
23,0.1,140000.0,2000.0,1771.82472758,26901.5833333,169.073194782
24,0.2,3500.0,50.0,1689.09708172,8532.44444444,47.8810307235
25,0.2,7000.0,100.0,1681.25737294,10402.45,60.0321541339
26,0.2,14000.0,200.0,1685.63108325,12912.4111111,77.023556098
27,0.2,21000.0,300.0,1701.93344734,15370.5444444,93.4786140346
28,0.2,28000.0,400.0,1710.86826705,16929.0388889,104.583765882
29,0.2,35000.0,500.0,1717.3259199,17994.0944444,111.884616625
30,0.2,42000.0,600.0,1726.22232287,19281.4666667,120.091561948
31,0.2,52500.0,750.0,1735.33033013,20766.0944444,129.53128465
32,0.2,70000.0,1000.0,1749.45193788,22862.0444444,143.074222711
33,0.2,87500.0,1250.0,1756.37152428,24443.4388889,155.411017013
34,0.2,105000.0,1500.0,1762.43848505,25462.7166667,161.719097588
35,0.2,140000.0,2000.0,1774.98106642,27668.1666667,175.122294241
36,0.3,3500.0,50.0,1677.72514077,8391.73333333,46.9561553451
37,0.3,7000.0,100.0,1674.28439227,10516.5277778,60.9109723894
38,0.3,14000.0,200.0,1683.044626,13384.35,80.7511262548
39,0.3,21000.0,300.0,1699.94275061,15434.9833333,94.1760131452
40,0.3,28000.0,400.0,1707.01386341,16721.3888889,102.858139629
41,0.3,35000.0,500.0,1715.06206106,18124.2222222,111.399854275
42,0.3,42000.0,600.0,1723.72641061,19420.5277778,119.51164467
43,0.3,52500.0,750.0,1730.39848363,20674.5333333,128.746865662
44,0.3,70000.0,1000.0,1741.90370565,22473.0888889,140.837082899
45,0.3,87500.0,1250.0,1750.90491126,24084.3944444,151.747154199
46,0.3,105000.0,1500.0,1759.36572672,25605.0888889,160.611548771
47,0.3,140000.0,2000.0,1773.29660542,27863.9111111,175.6988805
48,0.4,3500.0,50.0,1675.6890863,8299.98888889,46.5007070913
49,0.4,7000.0,100.0,1672.78633947,10614.6055556,61.8210193817
50,0.4,14000.0,200.0,1685.9698967,13821.9222222,83.6271585575
51,0.4,21000.0,300.0,1697.16483598,15419.5611111,95.6105204283
52,0.4,28000.0,400.0,1702.73273622,16559.9,102.752969153
53,0.4,35000.0,500.0,1713.05311815,18302.1888889,114.214719592
54,0.4,42000.0,600.0,1719.09699355,19329.0722222,121.030996941
55,0.4,52500.0,750.0,1727.55322076,20488.0166667,128.110512053
56,0.4,70000.0,1000.0,1742.72979034,22737.8944444,142.087401347
57,0.4,87500.0,1250.0,1751.77188417,24292.1722222,152.190758419
