,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1967.85267479,4823.24795161,30.8452720222
1,0.0,7000.0,100.0,1813.23131173,5744.72073935,43.4268003418
2,0.0,14000.0,200.0,1789.86689405,6978.83796545,55.7120153006
3,0.0,21000.0,300.0,1771.3140527,8039.90751157,68.7799648835
4,0.0,28000.0,400.0,1735.0206152,8409.53367794,75.2621260531
5,0.0,35000.0,500.0,1743.66794298,9370.0621897,84.929227771
6,0.0,42000.0,600.0,1764.99617991,10292.1208017,93.7229129629
7,0.0,52500.0,750.0,1784.9876819,11383.3742063,104.503641656
8,0.0,70000.0,1000.0,1831.30569141,12970.996109,118.158615286
9,0.0,87500.0,1250.0,1855.66503855,13977.6130269,126.5438734
10,0.0,105000.0,1500.0,1896.58702222,15321.8278785,138.360987455
11,0.0,140000.0,2000.0,1963.63795098,17161.2515837,153.840706574
12,0.1,3500.0,50.0,1751.22925408,4658.30168067,31.7482583837
13,0.1,7000.0,100.0,1690.24352462,5492.67857143,41.8844287776
14,0.1,14000.0,200.0,1712.89514399,7038.703467,58.2331949689
15,0.1,21000.0,300.0,1700.98213998,8059.88333333,70.9439733984
16,0.1,28000.0,400.0,1709.15367503,8966.72539683,80.2350884255
17,0.1,35000.0,500.0,1729.28443885,9565.88888889,86.4929691317
18,0.1,42000.0,600.0,1769.49820385,10357.3706767,93.8005888757
19,0.1,52500.0,750.0,1811.6987168,11884.0727652,107.800556774
20,0.1,70000.0,1000.0,1841.27690354,12852.0009921,116.450812687
21,0.1,87500.0,1250.0,1893.67010899,14233.4696429,128.807967792
22,0.1,105000.0,1500.0,1940.8873488,15426.9957516,138.998888833
23,0.1,140000.0,2000.0,2006.16264138,17406.3393883,156.740753428
24,0.2,3500.0,50.0,1680.37013555,4443.52857143,31.0958998126
25,0.2,7000.0,100.0,1674.97506763,5542.98571429,42.1447197431
26,0.2,14000.0,200.0,1667.80285467,6966.57142857,58.7183706624
27,0.2,21000.0,300.0,1691.22007465,7895.41428571,69.7831319078
28,0.2,28000.0,400.0,1706.43103057,8547.53571429,75.372816486
29,0.2,35000.0,500.0,1730.90498515,9213.83571429,83.845645198
30,0.2,42000.0,600.0,1757.81693358,10408.8285714,95.1098645366
31,0.2,52500.0,750.0,1810.91191815,11694.8285714,106.839773327
32,0.2,70000.0,1000.0,1860.5043924,13219.0928571,119.716524316
33,0.2,87500.0,1250.0,1908.69476464,14695.6071429,131.315066119
34,0.2,105000.0,1500.0,1941.97593878,15792.2428571,139.811194496
35,0.2,140000.0,2000.0,2002.54255148,17286.5090226,156.115217076
36,0.3,3500.0,50.0,1699.76378685,4536.88571429,32.1567885401
37,0.3,7000.0,100.0,1668.33480765,5386.31428571,42.4610964173
38,0.3,14000.0,200.0,1661.59159016,6908.74285714,58.9151958491
39,0.3,21000.0,300.0,1696.67996417,8179.85,72.3185747083
40,0.3,28000.0,400.0,1732.42792771,9272.94285714,81.6811644429
41,0.3,35000.0,500.0,1743.04654863,10058.1928571,89.64823177
42,0.3,42000.0,600.0,1745.50093148,10490.6571429,94.2760490866
43,0.3,52500.0,750.0,1785.24089055,11509.5642857,103.241201125
44,0.3,70000.0,1000.0,1838.871209,12890.0857143,116.39117503
45,0.3,87500.0,1250.0,1888.08153565,14065.4214286,127.029251954
46,0.3,105000.0,1500.0,1928.19625496,15367.4285714,137.609750534
47,0.3,140000.0,2000.0,1991.80841888,17277.2,154.99437183
48,0.4,3500.0,50.0,1683.41723661,4083.34285714,28.3440567393
49,0.4,7000.0,100.0,1649.7707028,5309.62857143,41.7836944913
50,0.4,14000.0,200.0,1638.63412248,6773.23571429,59.0202097044
51,0.4,21000.0,300.0,1671.33181895,7787.40714286,69.0104220345
52,0.4,28000.0,400.0,1696.30329362,8638.83571429,76.8549468355
53,0.4,35000.0,500.0,1734.92122204,9646.15714286,86.2323758331
54,0.4,42000.0,600.0,1761.31193584,10347.9285714,92.9331974464
55,0.4,52500.0,750.0,1803.60822763,11679.4714286,105.714021433
56,0.4,70000.0,1000.0,1864.27653773,13516.9428571,121.596244013
57,0.4,87500.0,1250.0,1894.98853976,14453.9785714,130.149672627
58,0.4,105000.0,1500.0,1936.07535727,15701.9714286,141.139940032
59,0.4,140000.0,2000.0,1999.45390522,17535.7928571,158.707207672
60,0.5,3500.0,50.0,1642.84441684,4282.95714286,30.8190562015
61,0.5,7000.0,100.0,1630.28066406,5488.85,44.3664465965
62,0.5,14000.0,200.0,1640.42237833,6862.76428571,59.0730140797
63,0.5,21000.0,300.0,1668.58327689,7836.51428571,69.4479204277
64,0.5,28000.0,400.0,1702.6749811,9082.87857143,81.3265977373
65,0.5,35000.0,500.0,1720.53216535,9687.80714286,87.539124496
66,0.5,42000.0,600.0,1754.18868949,10481.4357143,94.5814942475
67,0.5,52500.0,750.0,1804.07182332,11669.4571429,105.416695664
68,0.5,70000.0,1000.0,1862.96600843,13286.8071429,120.061167058
69,0.5,87500.0,1250.0,1893.83626888,14352.45,129.875647807
70,0.5,105000.0,1500.0,1926.29051904,15359.5285714,138.321073044
71,0.5,140000.0,2000.0,1995.78001452,17262.9142857,157.270552666
72,0.6,3500.0,50.0,1658.50056778,4080.27857143,28.7584394751
73,0.6,7000.0,100.0,1637.33191512,5183.95714286,41.3838374984
74,0.6,14000.0,200.0,1643.24328343,6687.76428571,58.5501762608
75,0.6,21000.0,300.0,1664.4985701,7720.29285714,69.3221410105
76,0.6,28000.0,400.0,1683.5745437,8597.8,78.338575548
77,0.6,35000.0,500.0,1706.98289358,9415.05,86.2830119733
78,0.6,42000.0,600.0,1740.30913207,10229.75,93.5225256652
79,0.6,52500.0,750.0,1781.45782863,11392.2928571,104.715396337
80,0.6,70000.0,1000.0,1835.41847397,12975.2357143,118.446382669
81,0.6,87500.0,1250.0,1897.14928878,14566.2785714,131.824367044
82,0.6,105000.0,1500.0,1943.20858871,15672.0071429,141.767472591
