,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1707.9904675,7200.68888889,36.9999265872
1,0.0,7000.0,100.0,1703.86728794,9010.50555556,49.3578794661
2,0.0,14000.0,200.0,1704.93544074,11220.3611111,63.8113054884
3,0.0,21000.0,300.0,1710.07210138,12671.4722222,73.4152779138
4,0.0,28000.0,400.0,1710.94185203,13944.0833333,81.9025919198
5,0.0,35000.0,500.0,1708.87601106,14202.2055556,84.8829588029
6,0.0,42000.0,600.0,1710.10826103,15405.9444444,93.4798829387
7,0.0,52500.0,750.0,1713.11501387,15950.4777778,97.3573201412
8,0.0,70000.0,1000.0,1719.63039833,17763.6555556,110.954657556
9,0.0,87500.0,1250.0,1731.7918741,19259.8055556,120.668210783
10,0.0,105000.0,1500.0,1735.48753895,20188.7859649,127.220283867
11,0.0,140000.0,2000.0,1745.67032171,22395.1541667,142.769782959
12,0.1,3500.0,50.0,1676.85010004,6537.80555556,34.5491703919
13,0.1,7000.0,100.0,1660.89492764,8452.63333333,46.6595860001
14,0.1,14000.0,200.0,1666.54418521,10698.6666667,61.9053167513
15,0.1,21000.0,300.0,1675.62868956,12251.6444444,73.1062490716
16,0.1,28000.0,400.0,1685.93055438,13492.7388889,81.3941831944
17,0.1,35000.0,500.0,1688.67433285,14014.3111111,86.1231330813
18,0.1,42000.0,600.0,1695.52304282,15060.6666667,93.2140743199
19,0.1,52500.0,750.0,1700.9331574,15933.5111111,100.580438344
20,0.1,70000.0,1000.0,1715.38307898,17578.8666667,112.231649
21,0.1,87500.0,1250.0,1727.54926546,19132.8055556,121.553836466
22,0.1,105000.0,1500.0,1735.05094143,20382.2666667,130.28403421
23,0.1,140000.0,2000.0,1749.55443176,22762.0944444,144.596077699
24,0.2,3500.0,50.0,1672.13573149,6459.27777778,34.1259519983
25,0.2,7000.0,100.0,1657.02595,8345.07222222,47.2950739986
26,0.2,14000.0,200.0,1662.61080888,10294.1722222,60.2118993612
27,0.2,21000.0,300.0,1672.89940276,11969.6666667,71.4052420577
28,0.2,28000.0,400.0,1675.31025226,12846.5666667,78.1265719826
29,0.2,35000.0,500.0,1684.42628103,13808.1555556,85.0222930155
30,0.2,42000.0,600.0,1692.94947648,15081.7611111,93.624282116
31,0.2,52500.0,750.0,1699.74544116,16206.6111111,101.270960961
