,eccentricity,area,N,E_of_pi,S,d
81,0.6,87500.0,1250.0,1914.28078285,16079.25,133.954595791
82,0.6,105000.0,1500.0,1966.04357585,17162.2,143.395190703
83,0.6,140000.0,2000.0,2096.31286754,20103.1,168.55171351
84,0.7,3500.0,50.0,1593.28551893,4911.85,32.9375857545
85,0.7,7000.0,100.0,1588.65627097,6390.35,49.5970575732
86,0.7,14000.0,200.0,1620.00177014,8483.5,69.9668819686
87,0.7,21000.0,300.0,1614.25350122,8645.55,74.1872327361
88,0.7,28000.0,400.0,1671.86679646,9694.95,85.7082708446
89,0.7,35000.0,500.0,1722.2882714,10175.35,88.3552855927
90,0.7,42000.0,600.0,1776.72305599,11292.05,97.9356540501
91,0.7,52500.0,750.0,1821.88696584,12929.75,112.33637204
92,0.7,70000.0,1000.0,1811.79902619,13848.4,115.513256858
93,0.7,87500.0,1250.0,1883.90359177,15226.35,126.663278124
94,0.7,105000.0,1500.0,1940.1499676,16680.15,138.020059575
95,0.7,140000.0,2000.0,2006.20235782,17616.9,149.186738573
96,0.8,3500.0,50.0,1612.60363735,4391.9,27.9891059163
97,0.8,7000.0,100.0,1575.68270621,5351.25,37.0879412138
98,0.8,14000.0,200.0,1576.90864208,6981.6,52.8502273407
99,0.8,21000.0,300.0,1571.85262331,8182.35,66.6262319561
100,0.8,28000.0,400.0,1653.97055542,10287.9,82.9514168419
101,0.8,35000.0,500.0,1666.42969655,10067.45,87.067404421
102,0.8,42000.0,600.0,1736.8693788,11416.15,97.6195524949
103,0.8,52500.0,750.0,1778.2854292,12693.65,106.646308908
104,0.8,70000.0,1000.0,1853.41086385,14236.15,120.93991969
105,0.8,87500.0,1250.0,1929.2497322,16008.05,133.830498691
106,0.8,105000.0,1500.0,1939.24862159,16845.7,139.858470309
107,0.8,140000.0,2000.0,1996.84827353,17635.95,149.085979362
108,0.9,3500.0,50.0,1723.03798758,5031.6,35.6338046212
109,0.9,7000.0,100.0,1687.76757517,6020.75,47.1956862435
110,0.9,14000.0,200.0,1646.79450402,7059.8,53.9812272888
111,0.9,21000.0,300.0,1659.58281507,8243.9,64.6917541819
112,0.9,28000.0,400.0,1728.8680857,10197.9,85.6464069972
113,0.9,35000.0,500.0,1759.42521676,10960.95,92.2650107448
114,0.9,42000.0,600.0,1796.68003034,11923.65,101.316345236
115,0.9,52500.0,750.0,1774.04588164,12062.35,102.014690479
116,0.9,70000.0,1000.0,1797.81009744,13495.05,112.204024477
117,0.9,87500.0,1250.0,1819.18065232,13690.65,115.321034838
118,0.9,105000.0,1500.0,1815.98890866,13792.4,118.858073589
119,0.9,140000.0,2000.0,1870.82272414,15256.0,132.664344557
