,eccentricity,area,N,E_of_pi,S,d
77,0.6,35000.0,500.0,2218.81901486,9528.5,82.2537205864
78,0.6,42000.0,600.0,2256.52630542,9978.63888889,88.5233180313
79,0.6,52500.0,750.0,2260.4721126,10492.3944444,93.730685481
80,0.6,70000.0,1000.0,2286.1219319,11324.8222222,102.345325199
81,0.6,87500.0,1250.0,2301.67707345,11996.3333333,108.893403788
82,0.6,105000.0,1500.0,2345.34377285,12543.3166667,113.883286373
83,0.6,140000.0,2000.0,2393.54463388,13334.6777778,121.246144551
84,0.7,3500.0,50.0,2047.441411,5283.03888889,38.1449603548
85,0.7,7000.0,100.0,2095.23086407,6298.83333333,49.5534020599
86,0.7,14000.0,200.0,2128.50964973,7472.00555556,61.3824518669
87,0.7,21000.0,300.0,2162.45383587,8228.81111111,69.6869826846
88,0.7,28000.0,400.0,2169.47771131,8925.80555556,76.8539235991
89,0.7,35000.0,500.0,2230.20385718,9541.17222222,82.6496436485
90,0.7,42000.0,600.0,2265.38742898,10022.1722222,88.3560442593
91,0.7,52500.0,750.0,2270.83486124,10450.3444444,93.2390061297
92,0.7,70000.0,1000.0,2279.47059269,11288.9222222,102.435600021
93,0.7,87500.0,1250.0,2307.52181776,12011.7444444,108.757634
94,0.7,105000.0,1500.0,2342.67417259,12495.2,113.227965287
95,0.7,140000.0,2000.0,2388.98316484,13162.2833333,119.619427447
96,0.8,3500.0,50.0,2057.66359131,5034.49444444,35.6500003808
97,0.8,7000.0,100.0,2117.45561578,6064.78333333,46.9683945851
98,0.8,14000.0,200.0,2125.44670235,7418.42777778,61.2075985846
99,0.8,21000.0,300.0,2166.65863523,8222.60555556,69.2809134024
100,0.8,28000.0,400.0,2156.86451852,8845.05,76.0722284412
101,0.8,35000.0,500.0,2219.55193302,9416.67777778,81.9767092675
102,0.8,42000.0,600.0,2238.06904824,9892.23333333,86.4553615539
103,0.8,52500.0,750.0,2256.29625746,10492.7833333,92.652443397
104,0.8,70000.0,1000.0,2297.97251421,11226.2944444,101.338036543
105,0.8,87500.0,1250.0,2310.39633795,11821.0444444,107.572482977
106,0.8,105000.0,1500.0,2318.47582437,12286.6,111.851436536
107,0.8,140000.0,2000.0,2382.66995859,12978.2611111,117.229630925
108,0.9,3500.0,50.0,2060.04101423,4843.03333333,31.9986783173
109,0.9,7000.0,100.0,2043.56391408,5910.14444444,44.1276508328
110,0.9,14000.0,200.0,2139.00385916,7219.97777778,58.1579406778
111,0.9,21000.0,300.0,2196.57038379,8194.48888889,68.5686429875
112,0.9,28000.0,400.0,2194.41199983,8697.8,73.7312872632
113,0.9,35000.0,500.0,2212.69858849,9294.85555556,80.554704285
114,0.9,42000.0,600.0,2219.61330756,9710.6,85.44294994
115,0.9,52500.0,750.0,2221.9247103,10207.2333333,90.0348634685
116,0.9,70000.0,1000.0,2245.53024718,10829.7611111,96.8492139158
117,0.9,87500.0,1250.0,2282.1428074,11317.5722222,102.338692521
118,0.9,105000.0,1500.0,2308.46240913,11749.4111111,106.005208324
119,0.9,140000.0,2000.0,2352.89489309,12579.3666667,113.231437962
