,eccentricity,area,N,E_of_pi,S,d
78,0.6,42000.0,600.0,1949.99272198,18105.4727273,115.63358757
79,0.6,52500.0,750.0,1972.09230843,19436.1772727,125.244519682
80,0.6,70000.0,1000.0,1980.58611299,21261.6590909,138.534685949
81,0.6,87500.0,1250.0,1995.93444824,22721.7090909,149.417287545
82,0.6,105000.0,1500.0,2005.42576951,24060.9181818,158.941784858
83,0.6,140000.0,2000.0,2022.96788807,25932.4090909,172.230795114
84,0.7,3500.0,50.0,1840.11905539,7772.23636364,43.3005547984
85,0.7,7000.0,100.0,1846.72029438,9753.85909091,57.4472606572
86,0.7,14000.0,200.0,1875.97534607,12414.6227273,76.6358087018
87,0.7,21000.0,300.0,1905.98985489,14266.85,88.544115643
88,0.7,28000.0,400.0,1929.35566554,15676.15,99.1819787019
89,0.7,35000.0,500.0,1942.81284766,16970.4227273,108.480168821
90,0.7,42000.0,600.0,1948.6329774,18019.8272727,115.106612427
91,0.7,52500.0,750.0,1967.12900625,19372.4227273,125.635336455
92,0.7,70000.0,1000.0,1981.23654059,21108.8272727,137.588604557
93,0.7,87500.0,1250.0,1993.95782258,22632.5045455,148.507860836
94,0.7,105000.0,1500.0,2006.99726723,23915.3909091,157.937635664
95,0.7,140000.0,2000.0,2023.0301376,25941.7136364,172.573562298
96,0.8,3500.0,50.0,1815.51489407,7261.48636364,39.9790085608
97,0.8,7000.0,100.0,1839.29641213,9238.89090909,53.8261917295
98,0.8,14000.0,200.0,1874.71064483,11877.75,73.7239433181
99,0.8,21000.0,300.0,1905.93511984,13883.3454545,86.510124797
100,0.8,28000.0,400.0,1931.28072314,15313.6272727,96.4477512738
101,0.8,35000.0,500.0,1941.30184479,16560.2181818,105.36606528
102,0.8,42000.0,600.0,1956.83415866,17742.5954545,114.06099681
103,0.8,52500.0,750.0,1960.38103407,19077.7,123.579729717
104,0.8,70000.0,1000.0,1978.73193009,21006.4681818,136.73223413
105,0.8,87500.0,1250.0,1995.90930725,22551.65,148.162058028
106,0.8,105000.0,1500.0,2004.07522023,23663.3590909,157.026606396
107,0.8,140000.0,2000.0,2022.18411008,25822.0636364,171.597061656
108,0.9,3500.0,50.0,1848.98947938,7451.52727273,40.0343753747
109,0.9,7000.0,100.0,1838.94632683,9431.00454545,55.3568357072
110,0.9,14000.0,200.0,1876.19351993,11995.6136364,74.5824230748
111,0.9,21000.0,300.0,1906.31520301,13784.3590909,86.1801079031
112,0.9,28000.0,400.0,1922.12991248,15260.2227273,97.2222057676
113,0.9,35000.0,500.0,1931.70420658,16274.55,104.698823355
114,0.9,42000.0,600.0,1944.87897084,17374.7954545,111.942572606
115,0.9,52500.0,750.0,1956.95478649,18644.6136364,121.157784888
116,0.9,70000.0,1000.0,1976.42385135,20608.2181818,134.709172111
117,0.9,87500.0,1250.0,1984.58898551,21984.1545455,144.332756464
118,0.9,105000.0,1500.0,2000.2353462,23184.8818182,152.801552891
119,0.9,140000.0,2000.0,2012.69574932,25052.15,166.689936544
