,eccentricity,area,N,E_of_pi,S,d
78,0.6,42000.0,600.0,1693.8475344,15502.4666667,95.6754152874
79,0.6,52500.0,750.0,1702.44353586,16568.52,102.468540644
80,0.6,70000.0,1000.0,1714.47411339,18297.16,113.972998126
81,0.6,87500.0,1250.0,1726.37857543,19768.4533333,124.567605278
82,0.6,105000.0,1500.0,1734.28774491,21069.2933333,133.553248044
83,0.6,140000.0,2000.0,1745.60287754,23021.08,147.45115365
84,0.7,3500.0,50.0,1662.37844579,6627.78,34.5185336852
85,0.7,7000.0,100.0,1648.32531151,8283.02666667,45.464567784
86,0.7,14000.0,200.0,1657.06075849,10708.8033333,62.0127092013
87,0.7,21000.0,300.0,1673.00453739,12749.2933333,75.7968796784
88,0.7,28000.0,400.0,1679.59071802,13787.9733333,83.2794618102
89,0.7,35000.0,500.0,1685.41934134,14790.1666667,89.655265069
90,0.7,42000.0,600.0,1692.45765549,15695.0866667,96.1456378543
91,0.7,52500.0,750.0,1698.70420445,16508.4533333,101.712864887
92,0.7,70000.0,1000.0,1710.85044906,18143.32,113.141970001
93,0.7,87500.0,1250.0,1720.91536527,19626.5966667,123.924431169
94,0.7,105000.0,1500.0,1730.38015032,21139.48,134.42269562
95,0.7,140000.0,2000.0,1742.16713276,22742.9851852,145.54732567
96,0.8,3500.0,50.0,1672.40344885,6524.09,34.4385640019
97,0.8,7000.0,100.0,1660.11201788,8487.42,47.6937020768
98,0.8,14000.0,200.0,1658.78747273,10455.4433333,61.1684443549
99,0.8,21000.0,300.0,1668.33247837,11966.3166667,71.9672771644
100,0.8,28000.0,400.0,1679.29772731,13725.77,82.480552402
101,0.8,35000.0,500.0,1686.37620742,14632.4633333,89.4922525685
102,0.8,42000.0,600.0,1692.26096061,15471.6966667,95.4196258422
103,0.8,52500.0,750.0,1699.33292775,16649.2766667,103.2614411
104,0.8,70000.0,1000.0,1712.45089806,18409.3433333,114.62759828
105,0.8,87500.0,1250.0,1721.10735884,19694.77,123.887145295
106,0.8,105000.0,1500.0,1726.93611532,20736.4533333,131.73030538
107,0.8,140000.0,2000.0,1735.99229787,22178.4189474,141.578094258
108,0.9,3500.0,50.0,1682.3118133,6606.24333333,34.6103939237
109,0.9,7000.0,100.0,1666.48058734,8829.86666667,49.5124906415
110,0.9,14000.0,200.0,1667.03010425,10634.3733333,62.4188925997
111,0.9,21000.0,300.0,1669.28371271,12399.9766667,73.7755627406
112,0.9,28000.0,400.0,1680.64406476,13571.3933333,81.7445808599
113,0.9,35000.0,500.0,1686.01594163,14490.3466667,88.2758020668
114,0.9,42000.0,600.0,1694.12818885,15658.1566667,95.2161513453
115,0.9,52500.0,750.0,1702.03756905,16824.54,103.195759575
116,0.9,70000.0,1000.0,1704.87330925,17905.6833333,111.460602866
117,0.9,87500.0,1250.0,1713.03888871,18884.4122222,117.200720267
118,0.9,105000.0,1500.0,1714.6876247,19306.5663158,121.588885613
119,0.9,140000.0,2000.0,1721.16954884,20180.4366667,128.831219076
