,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1704.13487596,7036.675,37.0793863163
1,0.0,7000.0,100.0,1688.47019708,8479.35357143,47.8492725225
2,0.0,14000.0,200.0,1691.01486626,10846.5678571,64.7023167112
3,0.0,21000.0,300.0,1693.92404945,12387.1678571,74.8036010391
4,0.0,28000.0,400.0,1698.7284674,13597.2357143,82.7144117824
5,0.0,35000.0,500.0,1706.78803986,14973.2428571,91.8086762506
6,0.0,42000.0,600.0,1713.12872841,15995.0821429,98.988861904
7,0.0,52500.0,750.0,1717.07423714,17161.8571429,106.296145093
8,0.0,70000.0,1000.0,1725.05054729,18870.4714286,117.689413332
9,0.0,87500.0,1250.0,1730.76986489,19872.8812693,124.926863385
10,0.0,105000.0,1500.0,1740.96209733,21320.4375052,133.327855048
11,0.0,140000.0,2000.0,1751.37837577,23281.2406104,146.6863558
12,0.1,3500.0,50.0,1665.69186872,6586.71071429,34.3769254491
13,0.1,7000.0,100.0,1662.6361791,8489.56785714,47.6426796453
14,0.1,14000.0,200.0,1667.58094235,10559.7571429,61.3226400599
15,0.1,21000.0,300.0,1679.18056323,12317.925,73.5902495323
16,0.1,28000.0,400.0,1683.70971706,13636.6571429,82.44900156
17,0.1,35000.0,500.0,1695.19051506,14961.65,91.8436182743
18,0.1,42000.0,600.0,1699.90768282,16301.6357143,100.7628286
19,0.1,52500.0,750.0,1707.48072701,17195.2964286,107.134507225
20,0.1,70000.0,1000.0,1719.3372515,18804.4178571,118.664323305
21,0.1,87500.0,1250.0,1727.19479495,20163.3107143,127.508594412
22,0.1,105000.0,1500.0,1736.16066286,21533.0099624,136.614134011
23,0.1,140000.0,2000.0,1750.65646216,23620.9728992,149.005588033
24,0.2,3500.0,50.0,1657.31138817,6406.825,33.5870861791
25,0.2,7000.0,100.0,1653.36607033,8405.68214286,48.2779127786
26,0.2,14000.0,200.0,1660.24686916,10467.5607143,62.0219429482
27,0.2,21000.0,300.0,1666.5782202,11661.7321429,69.832843283
28,0.2,28000.0,400.0,1677.14243873,13333.7214286,81.1015337468
29,0.2,35000.0,500.0,1686.11187503,14361.9071429,87.9805318009
30,0.2,42000.0,600.0,1694.93437418,15399.8428571,95.2331305141
31,0.2,52500.0,750.0,1703.57994852,16673.925,104.413932792
32,0.2,70000.0,1000.0,1717.21932459,18534.0571429,116.09688765
33,0.2,87500.0,1250.0,1728.5664155,20083.5071429,126.770843096
34,0.2,105000.0,1500.0,1738.34716054,21541.0428571,136.320588829
35,0.2,140000.0,2000.0,1747.46996415,23528.4571429,149.418293836
36,0.3,3500.0,50.0,1654.6936582,6452.2,34.0407775606
37,0.3,7000.0,100.0,1647.28086863,8342.60714286,47.1931996105
38,0.3,14000.0,200.0,1654.60430414,10459.1357143,61.5160956645
39,0.3,21000.0,300.0,1666.09216116,12260.4107143,73.9497486172
40,0.3,28000.0,400.0,1674.3529417,13448.2,82.0865658357
41,0.3,35000.0,500.0,1683.20020233,14288.5642857,87.9684517712
42,0.3,42000.0,600.0,1691.89413326,15358.9714286,95.2094564918
43,0.3,52500.0,750.0,1703.29120242,16878.4,105.211787025
44,0.3,70000.0,1000.0,1716.19248239,18654.0142857,117.18348915
45,0.3,87500.0,1250.0,1728.22007447,20202.3285714,127.074132236
46,0.3,105000.0,1500.0,1737.23313943,21674.8035714,137.392017111
47,0.3,140000.0,2000.0,1749.72175396,23946.7678571,151.121321598
48,0.4,3500.0,50.0,1650.5999412,6493.91428571,34.3115357447
49,0.4,7000.0,100.0,1643.70702716,8301.08571429,46.8116175905
50,0.4,14000.0,200.0,1651.23509651,10374.3142857,60.8121223286
51,0.4,21000.0,300.0,1663.67696913,12097.8535714,73.1014675216
52,0.4,28000.0,400.0,1672.69841049,13591.8571429,83.6274583234
53,0.4,35000.0,500.0,1683.14068431,14826.8892857,91.6264885636
54,0.4,42000.0,600.0,1688.38475046,15532.3178571,96.1670775884
55,0.4,52500.0,750.0,1701.00545395,16920.7571429,105.238059429
56,0.4,70000.0,1000.0,1713.05730695,18726.8321429,117.438925929
57,0.4,87500.0,1250.0,1725.16469929,20145.1607143,126.882095205
58,0.4,105000.0,1500.0,1735.99561994,21650.8178571,137.0085377
59,0.4,140000.0,2000.0,1748.80834599,23819.5678571,150.394135621
60,0.5,3500.0,50.0,1655.85416918,6473.89642857,33.8589218854
61,0.5,7000.0,100.0,1645.84688968,8171.97142857,46.4529562061
62,0.5,14000.0,200.0,1656.96591724,10288.0107143,60.8110011648
63,0.5,21000.0,300.0,1666.38712968,12028.4285714,73.2433159843
64,0.5,28000.0,400.0,1672.13646207,13168.8107143,80.8371698158
65,0.5,35000.0,500.0,1682.07811532,14378.5571429,88.3498940967
66,0.5,42000.0,600.0,1688.26553211,15375.7642857,95.2206184472
67,0.5,52500.0,750.0,1699.75354982,16764.8642857,104.846018965
68,0.5,70000.0,1000.0,1714.99321537,18692.0642857,117.685237214
69,0.5,87500.0,1250.0,1724.92813848,20079.2214286,126.544421544
70,0.5,105000.0,1500.0,1736.21105597,21888.6928571,138.514336691
71,0.5,140000.0,2000.0,1747.06927967,23550.7,149.075054428
72,0.6,3500.0,50.0,1655.46824991,6262.09285714,32.2810209756
73,0.6,7000.0,100.0,1646.77353223,8171.825,45.2980061668
74,0.6,14000.0,200.0,1655.44602342,10399.9678571,61.126879851
75,0.6,21000.0,300.0,1666.70376533,12080.6214286,71.8640397936
76,0.6,28000.0,400.0,1674.47407189,13355.0142857,80.4921110352
77,0.6,35000.0,500.0,1682.77758924,14614.45,89.7366084096
78,0.6,42000.0,600.0,1690.39918454,15448.3821429,95.570970643
79,0.6,52500.0,750.0,1699.49022728,16738.0964286,104.099884537
80,0.6,70000.0,1000.0,1714.06135108,18593.1142857,116.599181656
81,0.6,87500.0,1250.0,1723.55463517,19912.6964286,124.681049335
82,0.6,105000.0,1500.0,1731.08924125,21125.8821429,132.27216793
83,0.6,140000.0,2000.0,1745.00349603,23394.9857143,147.545908227
84,0.7,3500.0,50.0,1657.78942624,6455.97857143,33.5219805186
85,0.7,7000.0,100.0,1655.37048621,8405.825,46.5375630335
86,0.7,14000.0,200.0,1660.89772153,10982.575,64.7046512067
