,eccentricity,area,N,E_of_pi,S,d
78,0.6,42000.0,600.0,1673.54208136,13723.3833333,84.9157025348
79,0.6,52500.0,750.0,1702.03474576,14581.6066667,90.675283538
80,0.6,70000.0,1000.0,1705.66131792,15724.93,98.6433526233
81,0.6,87500.0,1250.0,1715.87027757,16555.83,104.453086865
82,0.6,105000.0,1500.0,1722.92529275,17301.48,109.662409704
83,0.6,140000.0,2000.0,1727.15639055,18408.0866667,116.952921331
84,0.7,3500.0,50.0,1547.3428657,6862.98,36.8530914888
85,0.7,7000.0,100.0,1512.17907587,8275.92333333,47.5328897004
86,0.7,14000.0,200.0,1597.37535663,10102.75,59.517391938
87,0.7,21000.0,300.0,1625.23034384,11292.5533333,67.9912757283
88,0.7,28000.0,400.0,1648.42441937,12317.1933333,75.1162964081
89,0.7,35000.0,500.0,1661.95366899,13111.2166667,80.7071155607
90,0.7,42000.0,600.0,1656.3011477,13785.9733333,85.3397379991
91,0.7,52500.0,750.0,1685.86027135,14654.8666667,90.8956115197
92,0.7,70000.0,1000.0,1696.58177466,15735.44,98.7435565014
93,0.7,87500.0,1250.0,1704.4322031,16613.7933333,104.74669397
94,0.7,105000.0,1500.0,1722.71750244,17332.49,109.443748457
95,0.7,140000.0,2000.0,1726.60738476,18393.6866667,116.732427566
96,0.8,3500.0,50.0,1558.9715049,6875.29666667,37.0049572317
97,0.8,7000.0,100.0,1537.25055171,8323.76,47.6693185209
98,0.8,14000.0,200.0,1591.37155444,10250.62,60.7495605392
99,0.8,21000.0,300.0,1647.42348175,11533.94,69.6389599531
100,0.8,28000.0,400.0,1651.77247097,12423.8966667,75.611047002
101,0.8,35000.0,500.0,1666.39025496,13205.8066667,80.9658759506
102,0.8,42000.0,600.0,1681.11634218,13915.37,85.4948612885
103,0.8,52500.0,750.0,1688.54335874,14764.8133333,91.7748734964
104,0.8,70000.0,1000.0,1698.10581747,15788.7566667,98.7596966618
105,0.8,87500.0,1250.0,1704.35008946,16674.0233333,104.809665178
106,0.8,105000.0,1500.0,1706.72500474,17360.62,109.544070814
107,0.8,140000.0,2000.0,1726.07528002,18356.0466667,115.896420782
108,0.9,3500.0,50.0,1511.6864523,7064.54,38.2663913924
109,0.9,7000.0,100.0,1555.88773022,8500.58333333,49.28102813
110,0.9,14000.0,200.0,1571.64491251,10254.6733333,61.4742538807
111,0.9,21000.0,300.0,1621.71448451,11513.77,69.0650189659
112,0.9,28000.0,400.0,1653.28332881,12438.39,75.8830656674
113,0.9,35000.0,500.0,1676.91933565,13235.56,80.4041268419
114,0.9,42000.0,600.0,1675.60992922,13761.2233333,84.5536674694
115,0.9,52500.0,750.0,1669.18449671,14613.8566667,90.0798391735
116,0.9,70000.0,1000.0,1686.04655613,15699.92,97.694048784
117,0.9,87500.0,1250.0,1689.50224726,16480.6933333,103.345335328
118,0.9,105000.0,1500.0,1707.95158759,17113.5333333,107.650923022
119,0.9,140000.0,2000.0,1710.08174531,18140.1166667,114.228445835
