,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1855.82405588,5142.45,39.0450276893
1,0.0,7000.0,100.0,1754.88774608,5764.65,47.5027181925
2,0.0,14000.0,200.0,1777.59166173,7582.15,62.6410648997
3,0.0,21000.0,300.0,1754.78544528,8174.45,69.1212478507
4,0.0,28000.0,400.0,1783.32799088,8947.97222222,76.7809342444
5,0.0,35000.0,500.0,1802.67170091,9780.33823529,85.2255332416
6,0.0,42000.0,600.0,1770.69191984,10468.8838235,91.7074997597
7,0.0,52500.0,750.0,1819.03058335,10830.5111111,95.9396852745
8,0.0,70000.0,1000.0,1877.74014544,12033.7959559,106.567621538
9,0.0,87500.0,1250.0,1907.78174153,13387.6,121.075119926
10,0.0,105000.0,1500.0,1991.01290005,15034.8245192,137.402637905
11,0.0,140000.0,2000.0,2030.98363605,16781.5277778,153.503194301
12,0.1,3500.0,50.0,1811.99398062,4906.44285714,34.517770955
13,0.1,7000.0,100.0,1760.75909372,5979.33888889,44.7602479118
14,0.1,14000.0,200.0,1654.19565438,6252.40625,52.6393893263
15,0.1,21000.0,300.0,1696.41195008,7255.025,63.5510966072
16,0.1,28000.0,400.0,1720.49364416,8185.475,71.4765687258
17,0.1,35000.0,500.0,1728.01619832,9412.3,86.3954549577
18,0.1,42000.0,600.0,1742.99714205,10220.2,93.4830522227
19,0.1,52500.0,750.0,1791.8794618,11533.6,104.60599314
20,0.1,70000.0,1000.0,1852.62841161,12628.65,117.207543822
21,0.1,87500.0,1250.0,1906.01236015,14093.1763158,130.613580034
22,0.1,105000.0,1500.0,1951.37569244,14711.5078947,136.075369484
23,0.1,140000.0,2000.0,2018.77613046,16440.3649123,152.780138914
24,0.2,3500.0,50.0,1855.65528606,3991.0,27.628422156
25,0.2,7000.0,100.0,1589.29435924,5167.4,39.1583317647
26,0.2,14000.0,200.0,1617.02135411,6073.1,51.6045587057
27,0.2,21000.0,300.0,1627.16084415,7041.9,61.0278231893
28,0.2,28000.0,400.0,1696.48582416,8242.725,71.0754347206
29,0.2,35000.0,500.0,1734.01443816,9174.475,80.9913583261
30,0.2,42000.0,600.0,1745.07568447,9887.575,88.7269877607
31,0.2,52500.0,750.0,1728.35863259,10444.9,97.0723564144
32,0.2,70000.0,1000.0,1800.87859944,11720.6,110.015000864
33,0.2,87500.0,1250.0,1876.98131657,13088.75,123.874144669
34,0.2,105000.0,1500.0,1914.71631688,14028.225,133.250205627
35,0.2,140000.0,2000.0,2023.19435572,16360.8805556,153.319711846
36,0.3,3500.0,50.0,1679.40109256,3896.225,25.0464373809
37,0.3,7000.0,100.0,1634.39164036,4992.925,37.1252010186
38,0.3,14000.0,200.0,1619.70131176,6326.75,53.7935904012
39,0.3,21000.0,300.0,1629.26889696,7562.0,66.6194168822
40,0.3,28000.0,400.0,1642.36397775,8515.1,76.0641118301
41,0.3,35000.0,500.0,1664.1666609,9502.825,84.4293957229
42,0.3,42000.0,600.0,1708.78078144,10477.175,94.6743617976
43,0.3,52500.0,750.0,1749.44860124,10906.55,99.9244299743
44,0.3,70000.0,1000.0,1860.36641079,12907.575,119.326319764
45,0.3,87500.0,1250.0,1919.98057254,13834.8,128.926152204
46,0.3,105000.0,1500.0,1950.54730344,14872.5,138.316721521
47,0.3,140000.0,2000.0,2053.30908233,16863.175,155.299661626
