,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1700.36757049,7800.42259259,43.3058794352
1,0.0,7000.0,100.0,1686.79151355,9957.82,57.5720949212
2,0.0,14000.0,200.0,1701.35565753,13111.11,76.8569100634
3,0.0,21000.0,300.0,1703.53083855,14415.25,86.8880863053
4,0.0,28000.0,400.0,1715.69583003,16052.98,96.6410672684
5,0.0,35000.0,500.0,1722.00708451,17260.87,105.025652826
6,0.0,42000.0,600.0,1728.36157691,18401.9,112.586554177
7,0.0,52500.0,750.0,1740.07754143,20118.32,123.451512721
8,0.0,70000.0,1000.0,1746.82798858,21907.1533333,135.214921297
9,0.0,87500.0,1250.0,1752.04066071,23163.9133333,143.365752392
10,0.0,105000.0,1500.0,1759.159584,24722.05,153.21287429
11,0.0,140000.0,2000.0,1768.52368171,26397.8966667,165.388901836
12,0.1,3500.0,50.0,1660.88629293,7662.94666667,42.6931796832
13,0.1,7000.0,100.0,1669.31418252,10663.8033333,61.3936960415
14,0.1,14000.0,200.0,1682.45647228,12871.97,77.374828208
15,0.1,21000.0,300.0,1692.98424046,14605.8833333,89.0702862719
16,0.1,28000.0,400.0,1704.18652307,16210.4133333,99.3672124493
17,0.1,35000.0,500.0,1716.51903443,18102.4566667,111.75747901
18,0.1,42000.0,600.0,1723.39926918,19100.51,118.9695569
19,0.1,52500.0,750.0,1734.715422,20546.0266667,128.48359493
20,0.1,70000.0,1000.0,1742.07852238,21780.39,135.322648156
21,0.1,87500.0,1250.0,1751.78751747,23493.72,145.267958848
22,0.1,105000.0,1500.0,1760.51021095,24952.4566667,154.532355723
23,0.1,140000.0,2000.0,1775.83429466,27276.2333333,169.30407794
24,0.2,3500.0,50.0,1660.58013551,8376.12333333,46.5701433205
25,0.2,7000.0,100.0,1668.10152582,10785.2833333,61.1125105923
26,0.2,14000.0,200.0,1682.38822621,13201.2733333,77.1124411797
27,0.2,21000.0,300.0,1696.4136125,15483.4866667,93.6111436906
28,0.2,28000.0,400.0,1708.52951618,16945.94,103.610246666
29,0.2,35000.0,500.0,1717.44022416,18064.4666667,111.255371822
30,0.2,42000.0,600.0,1725.94856017,19511.74,121.383830751
31,0.2,52500.0,750.0,1733.9337934,20624.1433333,128.344475273
32,0.2,70000.0,1000.0,1743.90841195,22518.62,139.47297689
33,0.2,87500.0,1250.0,1750.96268346,23636.7,147.906269049
34,0.2,105000.0,1500.0,1758.8378909,25135.92,156.460252177
35,0.2,140000.0,2000.0,1773.07424669,27249.7533333,169.801722986
36,0.3,3500.0,50.0,1652.92432356,8021.04333333,44.804871251
37,0.3,7000.0,100.0,1666.28341926,10612.5933333,61.7414076602
