,eccentricity,area,N,E_of_pi,S,d
78,0.6,42000.0,600.0,1721.21038068,19109.0142857,116.294792678
79,0.6,52500.0,750.0,1731.37354907,20591.4535714,126.218656072
80,0.6,70000.0,1000.0,1742.93757091,22306.1964286,137.753407029
81,0.6,87500.0,1250.0,1753.20573049,23775.5214286,147.604788727
82,0.6,105000.0,1500.0,1760.0690804,25058.5964286,156.436015758
83,0.6,140000.0,2000.0,1772.68405948,27055.5321429,170.289803269
84,0.7,3500.0,50.0,1663.29106206,7971.18214286,44.0998211502
85,0.7,7000.0,100.0,1668.87324047,10373.3107143,60.4580483043
86,0.7,14000.0,200.0,1681.50813324,12862.1857143,78.2932876638
87,0.7,21000.0,300.0,1691.16379836,14460.5071429,87.5395505063
88,0.7,28000.0,400.0,1702.72724538,16209.0285714,98.7867226483
89,0.7,35000.0,500.0,1713.0963333,17839.2142857,108.924249884
90,0.7,42000.0,600.0,1722.4489921,19169.1392857,117.979322012
91,0.7,52500.0,750.0,1727.78380703,20224.65,123.936459864
92,0.7,70000.0,1000.0,1742.74644762,22194.3428571,137.759728187
93,0.7,87500.0,1250.0,1752.61451908,23808.7857143,148.084931736
94,0.7,105000.0,1500.0,1759.26443917,24922.2535714,155.998152312
95,0.7,140000.0,2000.0,1773.19840353,27190.1035714,170.206191491
96,0.8,3500.0,50.0,1668.51014289,7792.91428571,42.8386322685
97,0.8,7000.0,100.0,1667.76805048,10086.6714286,58.5869585279
98,0.8,14000.0,200.0,1679.88377686,12497.6071429,74.0024585345
99,0.8,21000.0,300.0,1689.95807755,14281.1928571,84.9695248285
100,0.8,28000.0,400.0,1701.94066098,15984.4,96.2291131273
101,0.8,35000.0,500.0,1710.64770631,17523.8035714,105.631688425
102,0.8,42000.0,600.0,1717.04580773,18640.8035714,114.170455912
103,0.8,52500.0,750.0,1725.26671782,19909.8857143,121.070138331
104,0.8,70000.0,1000.0,1739.07049876,21803.4892857,134.189249192
105,0.8,87500.0,1250.0,1749.1164468,23362.5928571,144.469106813
106,0.8,105000.0,1500.0,1756.93684204,24510.8857143,152.181608301
