N,t,S,SH,Epi,D
100,0.1,52876.5,10212.98907020914,1243.6986834170855,-8969.2903867920522
100,0.4,87688.5,16936.856487911147,1746.4287487437189,-15190.427739167431
100,0.8,122630.8,23685.891087174878,2245.4861608040201,-21440.404926370866
100,1,130866.5,25276.599891379425,2458.9741658291455,-22817.625725550279
903,0.1,55641.300000000003,10747.004600384438,1271.8985829145729,-9475.106017469865
1100,0.4,86441.0,16695.904385085021,1702.9981959798995,-14992.906189105121
1100,0.8,121528.8,23473.042015179373,2217.7822010050249,-21255.259814174347
1100,1,132112.89999999999,25517.339531429516,2450.9064371859299,-23066.433094243588
1003,0.1,68063.100000000006,13146.25015620458,1445.4348592964823,-11700.815296908098
1633,0.4,99550.399999999994,19227.958490727404,1898.7161407035176,-17329.242350023887
2100,0.8,123342.10000000001,23823.277244080877,2270.1273065326632,-21553.149937548216
2100,1,134508.70000000001,25980.083457642617,2474.4689145728644,-23505.614543069751
1103,0.1,75796.300000000003,14639.90210135491,1574.2824824120603,-13065.619618942848
2033,0.4,107872.39999999999,20835.335965452101,2026.6419899497487,-18808.693975502352
3100,0.8,122194.89999999999,23601.69788346994,2263.6386331658287,-21338.059250304112
3100,1,133226.29999999999,25732.390490376703,2469.0431658291463,-23263.347324547554
1203,0.1,82750.899999999994,15983.169030665216,1648.6123266331658,-14334.556704032049
2433,0.4,116052.60000000001,22415.325056865586,2126.5494572864322,-20288.775599579152
4073,0.8,124187.5,23986.564544865811,2270.2118040201008,-21716.352740845716
4100,1,133156.89999999999,25718.986020688419,2460.6877236180908,-23258.298297070327
1303,0.1,86172.399999999994,16644.024838135843,1729.4462663316579,-14914.578571804184
2833,0.4,114495.3,22114.535710387721,2149.0789145728641,-19965.456795814855
4873,0.8,124942.89999999999,24132.468527611192,2304.794703517588,-21827.673824093607
5100,1,132087.39999999999,25512.414257984976,2458.0257839195983,-23054.388474065374
1403,0.1,90415.5,17463.571024509831,1787.8307939698491,-15675.740230539983
3233,0.4,119427.89999999999,23067.25742774257,2189.2372914572866,-20878.020136285282
5673,0.8,125361.7,24213.358900888612,2299.6593969849246,-21913.699503903692
6100,1,133174.20000000001,25722.327480711578,2467.1377638190957,-23255.189716892484
1503,0.1,95371.399999999994,18420.793089757142,1851.3528894472365,-16569.440200309909
3633,0.4,118949.60000000001,22974.874749761213,2202.6835929648237,-20772.191156796391
6473,0.8,127247.5,24577.597358210871,2333.6776331658289,-22243.919725045042
7100,1,131371.29999999999,25374.100990783536,2437.4867688442218,-22936.614221939315
1603,0.1,96793.399999999994,18695.449514782202,1866.3550301507537,-16829.094484631449
4033,0.4,121860.60000000001,23537.128514351883,2259.1958894472364,-21277.932624904653
7273,0.8,126857.5,24502.269646706111,2333.1224321608038,-22169.147214545308
8100,1,131981.79999999999,25492.01783148522,2448.9798391959798,-23043.037992289239
1703,0.1,100546.7,19420.391821425339,1919.9539396984924,-17500.437881726852
4433,0.4,125200.89999999999,24182.300705991263,2290.2463768844218,-21892.054329106846
8073,0.8,129351.39999999999,24983.961389582331,2363.2316934673368,-22620.729696114991
9100,1,131979.89999999999,25491.650850326612,2458.6423517587941,-23033.008498567815
