N,t,S,SH,Epi,D
100,0.1,41065.699999999997,7931.7569290797865,1133.2421708542713,-6798.5147582255158
100,0.4,68312.899999999994,13194.49852116327,1618.4356030150755,-11576.062918148196
100,0.8,94015.300000000003,18158.86511649661,2095.9076331658289,-16062.957483330785
100,1,100242.60000000001,19361.65552124945,2272.9891457286431,-17088.666375520806
513,0.1,52478.599999999999,10136.135489676459,1337.0004974874371,-8799.1349921890214
843,0.4,79583.100000000006,15371.31486526833,1814.6464824120601,-13556.668382856271
1100,0.8,95410.300000000003,18428.306546109801,2109.2290402010049,-16319.077505908796
1100,1,99675.199999999997,19252.06335840893,2282.1190150753769,-16969.944343333551
613,0.1,64125.0,12385.614103186879,1530.767120603015,-10854.846982583866
1243,0.4,87310.800000000003,16863.90449653846,1967.2962110552762,-14896.608285483182
2083,0.8,94089.699999999997,18173.235326075981,2098.5926331658293,-16074.642692910153
2100,1,99295.5,19178.725071079807,2267.7319095477387,-16910.993161532067
713,0.1,72368.300000000003,13977.790832025868,1666.5108492462309,-12311.279982779637
1643,0.4,92865.0,17936.686997153207,2077.7009798994977,-15858.986017253712
2883,0.8,97423.800000000003,18817.210000250412,2163.6473015075376,-16653.562698742877
3100,1,99976.300000000003,19310.220214650173,2283.5099095477381,-17026.710305102435
813,0.1,76608.199999999997,14796.718944869566,1773.1704271356782,-13023.548517733889
2043,0.4,92554.5,17876.714549916727,2059.7073819095476,-15817.007168007176
3683,0.8,97981.5,18924.928627702226,2189.9990351758797,-16734.929592526347
4100,1,99132.600000000006,19147.261265428206,2274.1322663316582,-16873.128999096545
913,0.1,78976.600000000006,15254.170616479512,1793.9681608040198,-13460.202455675495
2443,0.4,94694.600000000006,18290.070538099644,2104.4271055276381,-16185.643432572013
4483,0.8,98174.0,18962.109613509059,2187.3784120603018,-16774.731201448758
5100,1,100953.2,19498.906474570693,2302.6900502512563,-17196.216424319435
1013,0.1,83970.800000000003,16218.790249292553,1891.2364271356782,-14327.553822156871
2843,0.4,95989.600000000006,18540.197169891107,2147.0058844221107,-16393.191285468994
5283,0.8,98523.199999999997,19029.556887502556,2223.9974170854271,-16805.559470417131
6100,1,98567.600000000006,19038.132657735405,2266.6298040201004,-16771.502853715305
1113,0.1,83594.5,16146.108665089365,1892.3182964824123,-14253.790368606951
3243,0.4,96964.0,18728.400559866081,2159.2743065326631,-16569.126253333416
6083,0.8,99571.199999999997,19231.975968674327,2232.8155427135675,-16999.160425960756
7100,1,99306.300000000003,19180.811069244555,2277.034030150754,-16903.777039093802
1213,0.1,85289.100000000006,16473.417228976465,1931.9755979899496,-14541.441630986516
3643,0.4,97282.899999999994,18789.99545011959,2177.3342110552762,-16612.661239064317
6883,0.8,99727.199999999997,19262.107053276231,2212.540035175879,-17049.567018100352
8100,1,98537.199999999997,19032.2609591976,2273.6188643216074,-16758.642094875995
1313,0.1,87552.399999999994,16910.569048075777,1969.7361105527641,-14940.832937523006
4043,0.4,98570.0,19038.596212883127,2187.3990251256282,-16851.197187757502
7683,0.8,100450.39999999999,19401.791671123014,2240.6427939698488,-17161.148877153166
9100,1,98834.100000000006,19089.60659393033,2268.5287939698492,-16821.077799960476
