N,t,S,SH,Epi,D
100,0.1,51482.5,9943.7407885741668,1291.3942211055275,-8652.3465674686395
100,0.4,75730.899999999994,14627.270223579497,1739.8450301507539,-12887.425193428742
100,0.8,93255.600000000006,18012.130597444902,2142.9030150753765,-15869.227582369524
100,1,96119.399999999994,18565.267777463716,2280.2435728643218,-16285.024204599398
1100,0.1,51571.699999999997,9960.9695882311535,1279.8397236180904,-8681.1298646130635
1100,0.4,74835.699999999997,14454.364153479333,1724.9948844221103,-12729.369269057222
1100,0.8,93986.699999999997,18153.341084319596,2149.3237386934679,-16004.017345626129
1100,1,93535.100000000006,18066.115457356649,2258.46848241206,-15807.646974944588
1235,0.1,56644.300000000003,10940.732022536429,1389.7425075376887,-9550.9895149987387
1865,0.4,75905.300000000003,14660.955230980599,1789.3364422110558,-12871.618788769545
2100,0.8,92770.399999999994,17918.415198413848,2132.76803517588,-15785.647163237965
2100,1,94243.199999999997,18202.883540732342,2252.8064321608044,-15950.077108571539
1335,0.1,61789.699999999997,11934.555629655926,1498.9111658291463,-10435.644463826777
2265,0.4,80414.699999999997,15531.936723953866,1847.8668944723618,-13684.069829481508
3100,0.8,93232.199999999997,18007.610934754612,2137.7413517587943,-15869.869582995821
3100,1,94013.199999999997,18158.459505742358,2268.3107286432164,-15890.148777099141
1435,0.1,68564.800000000003,13243.152496876221,1592.5590753768845,-11650.593421499336
2665,0.4,83776.699999999997,16181.300226720565,1935.9015979899498,-14245.398628730612
4100,0.8,93718.399999999994,18101.519481763884,2131.6363467336687,-15969.883135030217
4100,1,92757.600000000006,17915.942904292664,2252.2848994974875,-15663.658004795177
1535,0.1,70980.399999999994,13709.720753058025,1640.4623316582915,-12069.258421399736
3065,0.4,86840.300000000003,16773.028372787201,2005.6943969849247,-14767.333975802278
5100,0.8,93816.600000000006,18120.486613224828,2144.0929296482414,-15976.393683576587
5100,1,95508.399999999994,18447.254362772921,2269.2816884422109,-16177.972674330711
1635,0.1,71492.5,13808.631832703124,1677.8203165829145,-12130.811516120209
3465,0.4,90052.300000000003,17393.419678821298,2050.4253467336684,-15342.994332087628
5905,0.8,93340.5,18028.528860795552,2156.7315728643216,-15871.797287931229
6100,1,94100.100000000006,18175.244065049443,2279.1013718592963,-15896.142693190142
1735,0.1,75984.699999999997,14676.291180451057,1763.5750904522615,-12912.716089998794
3865,0.4,91267.100000000006,17628.055842759721,2069.5326934673367,-15558.523149292383
6705,0.8,95173.199999999997,18382.511160474471,2180.6164924623122,-16201.894668012155
7100,1,93515.0,18062.233182994478,2264.1887135678394,-15798.044469426637
1835,0.1,76410.699999999997,14758.572219171643,1762.1659045226129,-12996.40631464903
4265,0.4,90529.600000000006,17485.609208824433,2089.6517487437186,-15395.957460080715
7505,0.8,94334.800000000003,18220.575895537055,2171.1295527638185,-16049.446342773232
8100,1,93861.899999999994,18129.23621663807,2265.884070351759,-15863.352146286314
1935,0.1,81069.5,15658.410020090585,1839.7073266331663,-13818.702693457415
4665,0.4,93249.800000000003,18011.01033917124,2127.5312110552763,-15883.479128115961
8305,0.8,93426.800000000003,18045.197531315709,2184.5544472361812,-15860.643084079526
9100,1,94041.800000000003,18163.983537919372,2269.1445929648244,-15894.838944954547
