N,t,S,SH,Epi,D
100,0.1,47730.400000000001,9219.0302595048888,1292.1955125628142,-7926.8347469420723
100,0.4,88799.800000000003,17151.501836104082,2208.5620753768844,-14942.939760727197
100,0.8,130974.8,25297.517817420361,3218.1477185929648,-22079.370098827396
100,1,140297.70000000001,27098.217103542796,3596.3728994974872,-23501.844204045305
513,0.1,66952.199999999997,12931.682067202939,1685.8809296482409,-11245.801137554699
843,0.4,109057.10000000001,21064.158375246188,2678.0796482412065,-18386.078727004984
1100,0.8,129117.3,24938.745447881651,3210.0609798994974,-21728.684467982159
1100,1,140556.39999999999,27148.184485507623,3571.3426381909549,-23576.841847316664
613,0.1,82697.5,15972.854928628407,2058.9528743718593,-13913.90205425655
1243,0.4,119513.39999999999,23083.771579880151,2932.6879246231156,-20151.083655257033
2083,0.8,131561.60000000001,25410.857051038292,3241.30811557789,-22169.548935460407
2100,1,139673.70000000001,26977.692765135173,3587.5731356783922,-23390.119629456785
713,0.1,94143.399999999994,18183.607372506252,2315.0450753768846,-15868.562297129369
1643,0.4,124868.3,24118.05968843618,3095.0730854271355,-21022.986603009042
2883,0.8,135642.39999999999,26199.055320547614,3350.4991608040204,-22848.556159743595
3100,1,141118.29999999999,27256.714334467939,3602.5780653266329,-23654.136269141305
813,0.1,103189.39999999999,19930.823983460305,2563.1936884422112,-17367.630295018094
2043,0.4,128970.2,24910.333380285883,3214.1135175879399,-21696.219862697948
3683,0.8,135332.29999999999,26139.160132502417,3363.5595778894472,-22775.600554612971
4100,1,140457.70000000001,27129.120780057565,3607.6307286432166,-23521.490051414352
913,0.1,110462.7,21335.647173428479,2707.5814623115575,-18628.06571111692
2443,0.4,135251.60000000001,26123.57309066028,3312.2531809045227,-22811.319909755759
4483,0.8,136939.29999999999,26449.548933497681,3415.5749497487436,-23033.973983748936
5100,1,140324.0,27103.296895369906,3607.8443366834172,-23495.452558686495
1013,0.1,108936.89999999999,21040.941988264465,2706.1307939698495,-18334.811194294609
2843,0.4,132141.70000000001,25522.902193202179,3288.7758944723619,-22234.126298729818
5283,0.8,136425.60000000001,26350.328817087437,3449.79364321608,-22900.535173871351
6100,1,138723.79999999999,26794.221500626525,3570.0295979899502,-23224.191902636572
1113,0.1,113127.2,21850.289961388578,2780.9843467336686,-19069.305614654906
3243,0.4,131731.10000000001,25443.595633346133,3342.618045226131,-22100.977588120004
6083,0.8,137579.0,26573.105695163315,3459.4000150753768,-23113.705680087936
7100,1,142912.70000000001,27603.299066581134,3597.281773869347,-24006.017292711789
1213,0.1,118537.10000000001,22895.201208746563,2894.3317336683422,-20000.869475078216
3643,0.4,137185.20000000001,26497.04402134132,3401.9707236180902,-23095.073297723233
6883,0.8,139007.39999999999,26848.99826724896,3491.1102964824117,-23357.887970766551
8100,1,139625.60000000001,26968.402347382915,3575.4867236180908,-23392.915623764828
1313,0.1,117133.7,22624.13733611635,2906.755974874372,-19717.381361241976
4043,0.4,136677.20000000001,26398.924848406918,3399.891974874372,-22999.032873532542
7683,0.8,140741.70000000001,27183.974805871294,3491.3098994974875,-23692.664906373804
9100,1,141170.10000000001,27266.719399739599,3596.1995527638196,-23670.519846975782
