N,t,S,SH,Epi,D
100,0.1,50020.900000000001,9661.4357036117035,1265.0241658291457,-8396.4115377825583
100,0.4,78623.300000000003,15185.931435775328,1772.7739899497487,-13413.157445825578
100,0.8,105834.3,20441.681071047344,2237.5377638190953,-18204.143307228245
100,1,109977.7,21241.970403993066,2397.389859296482,-18844.58054469659
903,0.1,54182.900000000001,10465.31758895227,1323.2340452261305,-9142.0835437261376
1100,0.4,77853.5,15037.246122143621,1746.8041708542714,-13290.441951289347
1100,0.8,104963.60000000001,20273.507126413508,2225.3413768844225,-18048.165749529086
1100,1,108824.39999999999,21019.212840715012,2384.9275326633165,-18634.285308051694
1003,0.1,60952.900000000001,11772.929401483656,1443.3856884422112,-10329.543713041445
1633,0.4,87631.0,16925.750479163653,1915.3095929648243,-15010.44088619883
2100,0.8,105190.5,20317.332402671022,2242.2272613065325,-18075.105141364493
2100,1,111492.39999999999,21534.531646598865,2396.8966432160805,-19137.635003382795
1103,0.1,67344.800000000003,13007.511963451067,1545.2957185929649,-11462.216244858102
2033,0.4,96955.800000000003,18726.816746444703,2090.6796180904525,-16636.137128354247
3100,0.8,105920.39999999999,20458.31111197186,2247.189924623116,-18211.121187348741
3100,1,111496.10000000001,21535.246294118271,2411.0768140703522,-19124.169480047924
1203,0.1,73185.100000000006,14135.554100633792,1669.3567185929649,-12466.197382040828
2433,0.4,98100.399999999994,18947.893922312265,2102.4813165829146,-16845.412605729351
4073,0.8,105195.0,20318.201568573,2239.9485678391957,-18078.253000733803
4100,1,109614.8,21171.877002697995,2389.6547889447238,-18782.222213753274
1303,0.1,77467.699999999997,14962.72963214737,1728.6254120603014,-13234.104220087069
2833,0.4,101499.5,19604.423215070823,2181.5852261306532,-17422.837988940166
4873,0.8,104360.60000000001,20157.038895548449,2237.7746030150752,-17919.264292533378
5100,1,111930.0,21619.05320186678,2403.7992663316581,-19215.253935535125
1403,0.1,82883.300000000003,16008.741822981194,1862.1595125628141,-14146.582310418376
3233,0.4,101904.3,19682.6095166532,2181.0373919597992,-17501.572124693401
5673,0.8,108161.8,20891.232990348202,2296.3568743718597,-18594.876115976342
6100,1,110855.3,21411.47706967661,2407.6163819095482,-19003.860687767057
1503,0.1,85065.800000000003,16430.287285440536,1886.1151457286433,-14544.172139711893
3633,0.4,106481.60000000001,20566.70575734743,2261.921050251256,-18304.784707096172
6473,0.8,107061.10000000001,20678.635010724374,2292.4058894472355,-18386.229121277138
7100,1,110857.60000000001,21411.921310026508,2407.3236130653263,-19004.59769696118
1603,0.1,84458.399999999994,16312.969203471323,1871.9090100502513,-14441.060193421072
4033,0.4,105160.0,20311.441389335389,2244.5904522613068,-18066.850937074087
7273,0.8,109573.3,21163.861361601979,2311.8520050251254,-18852.009356576851
8100,1,110119.2,21269.300842910819,2391.3363969849242,-18877.964445925896
1703,0.1,90035.300000000003,17390.136163191601,1981.2289698492464,-15408.907193342355
4433,0.4,106039.10000000001,20481.237776986258,2257.0706381909545,-18224.167138795303
8073,0.8,109151.2,21082.333599996437,2332.2277989949748,-18750.105801001464
9100,1,110002.3,21246.721844257212,2385.8968090452263,-18860.825035211987
