N,t,S,SH,Epi,D
100,0.1,51792.400000000001,10003.597347023719,1303.8172663316582,-8699.7800806920623
100,0.4,108138.2,20886.67469806227,2284.1167386934676,-18602.557959368802
100,0.8,165469.70000000001,31960.138011229654,3404.8203517587945,-28555.317659470857
100,1,184437.29999999999,35623.691602864863,3873.4052311557789,-31750.286371709073
513,0.1,73286.199999999997,14155.081361231565,1647.3171005025129,-12507.764260729053
843,0.4,132280.39999999999,25549.69181778092,2738.9233165829146,-22810.768501198003
1100,0.8,169098.79999999999,32661.0913389782,3420.0783366834171,-29241.013002294785
1100,1,180809.60000000001,34923.008682285828,3811.1393919597986,-31111.869290326016
613,0.1,96829.300000000003,18702.383527200203,2079.0143065326638,-16623.369220667541
1243,0.4,150971.29999999999,29159.801363843388,3077.4050201005034,-26082.396343742883
2083,0.8,167495.29999999999,32351.378555906704,3416.5615326633169,-28934.817023243384
2100,1,181671.79999999999,35089.540869104807,3853.9480552763825,-31235.592813828425
713,0.1,119544.60000000001,23089.797796800536,2500.7518190954775,-20589.045977705056
1643,0.4,158488.60000000001,30611.752660496586,3258.8927035175884,-27352.859956979002
2883,0.8,169685.29999999999,32774.372628202676,3537.4954773869349,-29236.877150815744
3100,1,184773.70000000001,35688.666582737169,3860.2432361809051,-31828.423346556268
813,0.1,118778.10000000001,22941.749871496941,2486.8726633165834,-20454.877208180355
2043,0.4,164899.0,31849.908460061015,3400.4478844221107,-28449.46057563891
3683,0.8,171308.79999999999,33087.948370838523,3541.7061809045235,-29546.242189934001
4100,1,182343.5,35219.278366073391,3850.7832512562809,-31368.495114817109
913,0.1,130815.8,25266.807288883807,2718.731567839196,-22548.07572104461
2443,0.4,164982.29999999999,31865.997686646529,3426.296010050251,-28439.701676596276
4483,0.8,179246.60000000001,34621.118392332115,3679.8197236180908,-30941.298668714026
5100,1,183856.0,35511.414683127121,3870.8738542713568,-31640.540828855766
1013,0.1,140790.39999999999,27193.381112410476,2873.7778291457284,-24319.603283264747
2843,0.4,172763.39999999999,33368.901419953465,3547.1946683417091,-29821.706751611753
5283,0.8,177492.0,34282.22094975198,3655.3670904522614,-30626.853859299714
6100,1,180104.39999999999,34786.800728046954,3835.0693417085431,-30951.731386338408
1113,0.1,145331.10000000001,28070.408137101949,2984.9921105527646,-25085.416026549185
3243,0.4,172476.70000000001,33313.525894598555,3605.7737035175887,-29707.752191080956
6083,0.8,176834.5,34155.226154074073,3664.0236080402015,-30491.202546033874
7100,1,186625.29999999999,36046.299379204393,3856.3813216080407,-32189.918057596358
1213,0.1,151577.60000000001,29276.906983036559,3121.7313567839201,-26155.17562625264
3643,0.4,177083.29999999999,34203.281371054545,3669.0501608040204,-30534.231210250531
6883,0.8,175477.89999999999,33893.201606824434,3695.1300904522623,-30198.071516372169
8100,1,181383.20000000001,35033.798362591282,3862.1909698492454,-31171.607392742037
1313,0.1,150429.0,29055.057215256122,3109.0136834170853,-25946.043531839041
4043,0.4,171983.60000000001,33218.284626539578,3575.32275879397,-29642.961867745609
7683,0.8,177811.20000000001,34343.873784398951,3715.7819849246234,-30628.091799474329
9100,1,181673.89999999999,35089.946479859063,3838.0918241206032,-31251.854655738465
